"";"SAMPLE_ID";"SAMPLE_CODE";"POLYMER";"SIZE_INTERVALS_mm";"SIZE_CODE";"MASS_mg";"REPLICATE";"PREPARED"
"1";1;"PP_A3750_1";"PP";"4.80–1.00";"A";"3750";1;TRUE
"2";2;"PP_A3750_2";"PP";"4.80–1.00";"A";"3750";2;TRUE
"3";3;"PP_A3750_3";"PP";"4.80–1.00";"A";"3750";3;TRUE
"4";4;"PP_A3750_4";"PP";"4.80–1.00";"A";"3750";4;TRUE
"5";5;"PP_A750_1";"PP";"4.80–1.00";"A";"750";1;TRUE
"6";6;"PP_A750_2";"PP";"4.80–1.00";"A";"750";2;TRUE
"7";7;"PP_A750_3";"PP";"4.80–1.00";"A";"750";3;TRUE
"8";8;"PP_A750_4";"PP";"4.80–1.00";"A";"750";4;TRUE
"9";9;"PP_A150_1";"PP";"4.80–1.00";"A";"150";1;TRUE
"10";10;"PP_A150_2";"PP";"4.80–1.00";"A";"150";2;TRUE
"11";11;"PP_A150_3";"PP";"4.80–1.00";"A";"150";3;TRUE
"12";12;"PP_A150_4";"PP";"4.80–1.00";"A";"150";4;TRUE
"13";13;"PP_A30_1";"PP";"4.80–1.00";"A";"30";1;TRUE
"14";14;"PP_A30_2";"PP";"4.80–1.00";"A";"30";2;TRUE
"15";15;"PP_A30_3";"PP";"4.80–1.00";"A";"30";3;TRUE
"16";16;"PP_A30_4";"PP";"4.80–1.00";"A";"30";4;TRUE
"17";17;"PP_A6_1";"PP";"4.80–1.00";"A";"6";1;TRUE
"18";18;"PP_A6_2";"PP";"4.80–1.00";"A";"6";2;TRUE
"19";19;"PP_A6_3";"PP";"4.80–1.00";"A";"6";3;TRUE
"20";20;"PP_A6_4";"PP";"4.80–1.00";"A";"6";4;TRUE
"21";21;"PP_A1.2_1";"PP";"4.80–1.00";"A";"1.2";1;TRUE
"22";22;"PP_A1.2_2";"PP";"4.80–1.00";"A";"1.2";2;TRUE
