"";"SAMPLE_ID";"SAMPLE_CODE";"POLYMER";"SIZE_INTERVALS_mm";"SIZE_CODE";"MASS_mg";"REPLICATE"
"1";289;"MIX_A3750_1";"ALL";"4.80–1.00";"A";"3750";1
"2";290;"MIX_A3750_2";"ALL";"4.80–1.00";"A";"3750";2
"3";291;"MIX_A3750_3";"ALL";"4.80–1.00";"A";"3750";3
"4";292;"MIX_A3750_4";"ALL";"4.80–1.00";"A";"3750";4
"5";293;"MIX_A750_1";"ALL";"4.80–1.00";"A";"750";1
"6";294;"MIX_A750_2";"ALL";"4.80–1.00";"A";"750";2
"7";295;"MIX_A750_3";"ALL";"4.80–1.00";"A";"750";3
"8";296;"MIX_A750_4";"ALL";"4.80–1.00";"A";"750";4
"9";297;"MIX_A150_1";"ALL";"4.80–1.00";"A";"150";1
"10";298;"MIX_A150_2";"ALL";"4.80–1.00";"A";"150";2
"11";299;"MIX_A150_3";"ALL";"4.80–1.00";"A";"150";3
"12";300;"MIX_A150_4";"ALL";"4.80–1.00";"A";"150";4
"13";301;"MIX_A30_1";"ALL";"4.80–1.00";"A";"30";1
"14";302;"MIX_A30_2";"ALL";"4.80–1.00";"A";"30";2
"15";303;"MIX_A30_3";"ALL";"4.80–1.00";"A";"30";3
"16";304;"MIX_A30_4";"ALL";"4.80–1.00";"A";"30";4
"17";305;"MIX_A6_1";"ALL";"4.80–1.00";"A";"6";1
"18";306;"MIX_A6_2";"ALL";"4.80–1.00";"A";"6";2
"19";307;"MIX_A6_3";"ALL";"4.80–1.00";"A";"6";3
"20";308;"MIX_A6_4";"ALL";"4.80–1.00";"A";"6";4
"21";309;"MIX_B3750_1";"ALL";"1.00–0.60";"B";"3750";1
"22";310;"MIX_B3750_2";"ALL";"1.00–0.60";"B";"3750";2
"23";311;"MIX_B3750_3";"ALL";"1.00–0.60";"B";"3750";3
"24";312;"MIX_B3750_4";"ALL";"1.00–0.60";"B";"3750";4
"25";313;"MIX_B750_1";"ALL";"1.00–0.60";"B";"750";1
"26";314;"MIX_B750_2";"ALL";"1.00–0.60";"B";"750";2
"27";315;"MIX_B750_3";"ALL";"1.00–0.60";"B";"750";3
"28";316;"MIX_B750_4";"ALL";"1.00–0.60";"B";"750";4
"29";317;"MIX_B150_1";"ALL";"1.00–0.60";"B";"150";1
"30";318;"MIX_B150_2";"ALL";"1.00–0.60";"B";"150";2
"31";319;"MIX_B150_3";"ALL";"1.00–0.60";"B";"150";3
"32";320;"MIX_B150_4";"ALL";"1.00–0.60";"B";"150";4
"33";321;"MIX_B30_1";"ALL";"1.00–0.60";"B";"30";1
"34";322;"MIX_B30_2";"ALL";"1.00–0.60";"B";"30";2
"35";323;"MIX_B30_3";"ALL";"1.00–0.60";"B";"30";3
"36";324;"MIX_B30_4";"ALL";"1.00–0.60";"B";"30";4
"37";325;"MIX_B6_1";"ALL";"1.00–0.60";"B";"6";1
"38";326;"MIX_B6_2";"ALL";"1.00–0.60";"B";"6";2
"39";327;"MIX_B6_3";"ALL";"1.00–0.60";"B";"6";3
"40";328;"MIX_B6_4";"ALL";"1.00–0.60";"B";"6";4
"41";329;"MIX_C3750_1";"ALL";"0.60–0.053";"C";"3750";1
"42";330;"MIX_C3750_2";"ALL";"0.60–0.053";"C";"3750";2
"43";331;"MIX_C3750_3";"ALL";"0.60–0.053";"C";"3750";3
"44";332;"MIX_C3750_4";"ALL";"0.60–0.053";"C";"3750";4
"45";333;"MIX_C750_1";"ALL";"0.60–0.053";"C";"750";1
"46";334;"MIX_C750_2";"ALL";"0.60–0.053";"C";"750";2
"47";335;"MIX_C750_3";"ALL";"0.60–0.053";"C";"750";3
"48";336;"MIX_C750_4";"ALL";"0.60–0.053";"C";"750";4
"49";337;"MIX_C150_1";"ALL";"0.60–0.053";"C";"150";1
"50";338;"MIX_C150_2";"ALL";"0.60–0.053";"C";"150";2
"51";339;"MIX_C150_3";"ALL";"0.60–0.053";"C";"150";3
"52";340;"MIX_C150_4";"ALL";"0.60–0.053";"C";"150";4
"53";341;"MIX_C30_1";"ALL";"0.60–0.053";"C";"30";1
"54";342;"MIX_C30_2";"ALL";"0.60–0.053";"C";"30";2
"55";343;"MIX_C30_3";"ALL";"0.60–0.053";"C";"30";3
"56";344;"MIX_C30_4";"ALL";"0.60–0.053";"C";"30";4
"57";345;"MIX_C6_1";"ALL";"0.60–0.053";"C";"6";1
"58";346;"MIX_C6_2";"ALL";"0.60–0.053";"C";"6";2
"59";347;"MIX_C6_3";"ALL";"0.60–0.053";"C";"6";3
"60";348;"MIX_C6_4";"ALL";"0.60–0.053";"C";"6";4
